group,codes,ap_drop,ap_drop_sd,pct_of_model,example_codes,baseline_ap
Everything else (all remaining codes),3528,0.38534215478925216,0.0007810194377465823,88.7851523847616,,0.43401643680164403
All named groups together,19,0.11664106123421525,0.0,26.874802736450977,,0.43401643680164403
Electrolyte & acid-base,3,0.03813129189350484,0.0010594157560990113,8.785679218626404,"E875, E872, E871",0.43401643680164403
Fluid overload,3,0.03196589598279971,0.0013909903428049042,7.365134882531856,"E8770, E8779, J810",0.43401643680164403
Bone & mineral chemistry,8,0.01778723681905574,0.0007201931982189994,4.098286449732994,"E839, E8359, E213, E211",0.43401643680164403
Transplant pathway,2,0.0033260918055609155,0.0003085568734610603,0.7663515764682939,"Z7682, Z9483",0.43401643680164403
Other systemic,3,0.0015356370533464614,0.00041067346707871643,0.3538200222698673,"E8889, I776, E859",0.43401643680164403
