regime,model,roc_auc,avg_precision,ap_baseline,accuracy,accuracy_of_always_no,recall,precision,brier
all codes available,logreg k=50 C=1.0,0.9930661673380133,0.7972142032751146,0.023506666666666665,0.99054,0.9764933333333333,0.9744753261486103,0.7210912906610702,0.009546460733232013
all codes available,random forest (200 trees),0.9959206538301734,0.8473582280511959,0.023506666666666665,0.9902933333333334,0.9764933333333333,0.9778786159954623,0.7144633236634894,0.009472105057918666
no dialysis/CKD-definitional codes,logreg k=800 C=0.1,0.9549921032371063,0.44124691400936056,0.023506666666666665,0.8986333333333333,0.9764933333333333,0.8936471922858763,0.1752405316723208,0.08013889059902561
no dialysis/CKD-definitional codes,random forest (200 trees),0.9481192337736357,0.3932805649930853,0.023506666666666665,0.8859666666666667,0.9764933333333333,0.8735110606920022,0.15603627336744516,0.07814783883539317
also no renal category at all,logreg k=800 C=1.0,0.9454827194449963,0.3711217636780607,0.023506666666666665,0.8819933333333333,0.9764933333333333,0.8817356778218945,0.15245427352522925,0.09117987201061202
also no renal category at all,random forest (200 trees),0.9359214872614091,0.31758704072514543,0.023506666666666665,0.8705866666666666,0.9764933333333333,0.8539421440726035,0.13743837867445682,0.08483313179570552
