code_a,code_b,n_both,n_a,n_b,support,lift,conf_a_to_b,conf_b_to_a,leverage,jaccard,odds_ratio,se_log_or,or_ci_low,or_ci_high,z_stat,z_crit,desc_a,ccsr_a,ccsr_desc_a,chapter_a,desc_b,ccsr_b,ccsr_desc_b,chapter_b,same_ccsr,same_icd3,same_chapter,definitional,context_code,wrapper_code,adverse_effect_pair,same_concept_text,structural,obstetric
N179,N189,98675,899456,209394,0.01392966068377094,3.7113300350657465,0.10970519958730611,0.4712408187436125,0.010176380713474745,0.09768109485980152,6.759577564020566,0.004536461926451858,6.601198854314659,6.921756161631944,421.24466788314743,5.226346176164583,"Acute kidney failure, unspecified",GEN002,Acute and unspecified renal failure,Genitourinary,"Chronic kidney disease, unspecified",GEN003,Chronic kidney disease,Genitourinary,False,False,True,False,False,False,False,True,True,False
I120,N186,98595,106928,216385,0.01391836731812917,30.185814117962117,0.9220690558132575,0.4556461861959008,0.013457277639920126,0.4387498998745094,688.9468706289784,0.011780301004281075,647.8092113618198,732.6968839354125,554.7535801353667,5.226346176164583,Hyp chr kidney disease w stage 5 chr kidney disease or ESRD,GEN003,Chronic kidney disease,Circulatory,End stage renal disease,GEN003,Chronic kidney disease,Genitourinary,True,False,False,True,False,False,False,False,True,False
E669,Z79899,98589,534192,1032658,0.013917520315706037,1.26602174606427,0.18455723784706624,0.09547110466388678,0.0029244071571272352,0.06714678112406446,1.360667417341741,0.003699647944311474,1.3346107636479794,1.3872327955417105,83.24449570653246,5.226346176164583,"Obesity, unspecified",END009,Obesity,Endocrine/metabolic,Other long term (current) drug therapy,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
E876,F329,98436,663288,725159,0.01389592175391615,1.4497234822506682,0.1484061222274487,0.1357440230349482,0.004310699520816225,0.07630632607008778,1.6110470199257645,0.0037010006043352414,1.5801844491708619,1.6425123673211417,128.85279997109282,5.226346176164583,Hypokalemia,END011,Fluid and electrolyte disorders,Endocrine/metabolic,"Major depressive disorder, single episode, unspecified",MBD002,Depressive disorders,Mental/behavioural,False,False,False,False,False,False,False,False,False,False
I130,Z7901,98013,398706,585640,0.013836208083085291,2.9734920160567193,0.2458277527802441,0.16736049450174167,0.009183023205382439,0.11058259141880084,4.1427457087247825,0.003967420259432077,4.057729866185178,4.229542767294304,358.25768124671794,5.226346176164583,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny,CIR019,Heart failure,Circulatory,Long term (current) use of anticoagulants,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
I132,N186,97899,107646,216385,0.013820115037045768,29.772808559880037,0.9094532077364695,0.4524296970677265,0.013355929234445039,0.43292855500327243,581.2930935644418,0.011017738727610197,548.7662501332712,615.7478900053666,577.7279032464163,5.226346176164583,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD,GEN003,Chronic kidney disease,Circulatory,End stage renal disease,GEN003,Chronic kidney disease,Genitourinary,True,False,False,True,False,False,False,False,True,False
E8342,I10,97586,256619,1922540,0.013775929743972343,1.4011670691278426,0.3802758174570082,0.05075889188261363,0.003944175881424617,0.04688089247890898,1.681949521150764,0.0041573034531231,1.6457991025440357,1.7188939933958867,125.06990547042287,5.226346176164583,Hypomagnesemia,END016,Other specified and unspecified nutritional and metabolic disorders,Endocrine/metabolic,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,False,False,False,False,False,False,False,False,False,False
E039,E1122,97509,734506,548083,0.013765059879542138,1.7158116833442318,0.13275453161716855,0.1779091852876298,0.00574258281334504,0.08228052114625173,2.0040141271253966,0.003770171459497587,1.9649130824061065,2.043893268195019,184.38212694819399,5.226346176164583,"Hypothyroidism, unspecified",END001,Thyroid disorders,Endocrine/metabolic,Type 2 diabetes mellitus w diabetic chronic kidney disease,END003,Diabetes mellitus with complication,Endocrine/metabolic,False,False,True,False,False,False,False,False,False,False
I130,Z7982,97252,398706,878735,0.013728779942417953,1.9663211160091607,0.24391907821803535,0.11067272841072678,0.006746817621694956,0.08240375058571127,2.4371223248898404,0.0038792740894040066,2.3882085851868244,2.4870378840932865,229.6352223946063,5.226346176164583,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny,CIR019,Heart failure,Circulatory,Long term (current) use of aspirin,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
I10,Z90710,96862,1922540,214920,0.013673724784914323,1.6606106290556577,0.05038230674004182,0.4506886283268193,0.005439570103699146,0.04746745806866418,2.266422897229345,0.004420443168946167,2.214662465568968,2.3193930582852036,185.0951909388762,5.226346176164583,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,Acquired absence of both cervix and uterus,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
E669,Z7982,96351,534192,878735,0.013601588411877514,1.4540104223793575,0.1803677329499506,0.10964739085162194,0.004247055457691575,0.07318301412147875,1.622140820161265,0.0037568782972996918,1.5906011463491654,1.654305887100018,128.76296022527544,5.226346176164583,"Obesity, unspecified",END009,Obesity,Endocrine/metabolic,Long term (current) use of aspirin,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
E860,E871,96179,483351,511228,0.01357730767574771,2.757208453169226,0.19898376128320827,0.18813327908487015,0.008653012720775587,0.10705587711487088,3.7020842112413286,0.0039434852794824,3.6265650830552016,3.779175940109197,331.9134898770034,5.226346176164583,Dehydration,END011,Fluid and electrolyte disorders,Endocrine/metabolic,Hypo-osmolality and hyponatremia,END011,Fluid and electrolyte disorders,Endocrine/metabolic,True,False,True,False,False,False,False,False,True,False
Z87891,Z951,96127,1189002,260258,0.013569966988080558,2.200519964817567,0.08084679420219647,0.36935271922476925,0.007403257662539141,0.07104031902259424,3.071076317114263,0.004193452392775141,3.0045014823613894,3.1391263412282973,267.56666988354425,5.226346176164583,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,Presence of aortocoronary bypass graft,XXX000,Unacceptable PDX,Factors/status,True,False,True,False,False,False,False,False,True,False
I2510,N400,95642,1067226,261384,0.013501500958877326,2.428733426248434,0.08961738188537385,0.36590609983778655,0.007942430204977197,0.07757054522096275,3.474997470852321,0.00420585552114506,3.3994460581797585,3.5522279853135657,296.1570469888826,5.226346176164583,Athscl heart disease of native coronary artery w/o ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Circulatory,Benign prostatic hyperplasia without lower urinry tract symp,GEN012,Hyperplasia of prostate,Genitourinary,False,False,False,False,False,False,False,False,False,False
E1122,Z992,95622,548083,168131,0.013498677617466884,7.350726986222222,0.17446627609321946,0.5687350934687833,0.01166230447467869,0.15408190888699821,18.83788124786356,0.005158870094387174,18.336759511114998,19.352698043157755,569.0916322381936,5.226346176164583,Type 2 diabetes mellitus w diabetic chronic kidney disease,END003,Diabetes mellitus with complication,Endocrine/metabolic,Dependence on renal dialysis,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
E6601,Z87891,95407,431917,1189002,0.013468326697304626,1.3160244395231901,0.2208919769307529,0.08024124433768824,0.0032342259520446465,0.06254096985143348,1.4410155162770972,0.003814099891052684,1.4125749976257043,1.4700286509683604,95.78880866002362,5.226346176164583,Morbid (severe) obesity due to excess calories,END009,Obesity,Endocrine/metabolic,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
I4891,Z87891,95395,353708,1189002,0.01346663269245836,1.6068108003199584,0.2696998654257184,0.08023115183994645,0.005085662954280848,0.06591170546840183,1.9033913184227018,0.003930109403592834,1.8646942288652824,1.942891469799606,163.77080978154007,5.226346176164583,Unspecified atrial fibrillation,CIR017,Cardiac dysrhythmias,Circulatory,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
E876,F419,95266,663288,723719,0.013448422140361007,1.4058287268874774,0.14362690113495194,0.1316339629054923,0.0038822339673991544,0.07375007838258599,1.5457345390561303,0.0037444920330221075,1.5157785715359156,1.5762825191611138,116.30395347031225,5.226346176164583,Hypokalemia,END011,Fluid and electrolyte disorders,Endocrine/metabolic,"Anxiety disorder, unspecified",MBD005,Anxiety and fear-related disorders,Mental/behavioural,False,False,False,False,False,False,False,False,False,False
A419,J9601,95253,413374,412424,0.013446586968444219,3.9578394490938305,0.230428135296366,0.23095891606696023,0.010049130567952053,0.13038621850810012,5.997778562484902,0.004117283430631969,5.870094969929391,6.128239469528746,435.09007608243394,5.226346176164583,"Sepsis, unspecified organism",INF002,Septicemia,Infectious,Acute respiratory failure with hypoxia,RSP012,Respiratory failure; insufficiency; arrest,Respiratory,False,False,False,False,False,False,False,False,False,False
N183,Z79899,95016,472288,1032658,0.013413130372730475,1.3800661894841715,0.2011823294261129,0.0920111014488824,0.0036939368478576488,0.06739057967416823,1.5240050171542916,0.003797083458840083,1.4940594474856013,1.5545507886049736,110.96457423765375,5.226346176164583,"Chronic kidney disease, stage 3 (moderate)",GEN003,Chronic kidney disease,Genitourinary,Other long term (current) drug therapy,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
E876,Z7982,94763,663288,878735,0.013377415103888377,1.151715823825212,0.14286855785118982,0.10784024762869351,0.0017622103570631101,0.06547752304354436,1.1984042265369184,0.003710052668942507,1.1753909797975737,1.221868054856851,48.78390598231267,5.226346176164583,Hypokalemia,END011,Fluid and electrolyte disorders,Endocrine/metabolic,Long term (current) use of aspirin,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
G4733,Z79899,94652,470750,1032658,0.01336174555906042,1.3792708256540687,0.2010663834306957,0.09165861301611956,0.003674202467061719,0.06718835625189884,1.5226296902416665,0.0038034378978650317,1.4926615718705643,1.5531994775614637,110.54180735666579,5.226346176164583,Obstructive sleep apnea (adult) (pediatric),NVS016,Sleep wake disorders,Nervous,Other long term (current) drug therapy,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
D631,Z992,94315,228467,168131,0.013314172256294464,17.393063864595433,0.4128167306438129,0.5609613931993505,0.012548684797618698,0.31200894525990547,64.5889253582146,0.005634845210030222,62.71453947386425,66.51933210268646,739.690764635278,5.226346176164583,Anemia in chronic kidney disease,XXX000,Unacceptable PDX,Blood/immune,Dependence on renal dialysis,XXX000,Unacceptable PDX,Factors/status,True,False,False,False,False,False,False,False,True,False
I2510,M1990,93772,1067226,333307,0.013237518537000947,1.8674068379567903,0.0878651756984931,0.28133822571983186,0.006148801569741321,0.07175910514623561,2.3232484918098457,0.004004899760616335,2.275125977813181,2.3723888731140534,210.48377454341343,5.226346176164583,Athscl heart disease of native coronary artery w/o ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Circulatory,"Unspecified osteoarthritis, unspecified site",MUS006,Osteoarthritis,Musculoskeletal,False,False,False,False,False,False,False,False,False,False
