regime,model,roc_auc,avg_precision,ap_baseline,accuracy,accuracy_of_always_no,recall,precision,brier
all codes available,logreg k=800 C=0.1,0.9984725687073169,0.9755769697357022,0.030073333333333334,0.99466,0.9699266666666667,0.9829306140545334,0.8596355176424971,0.0050407198227248
all codes available,random forest (200 trees),0.9980345470480468,0.9755168303355886,0.030073333333333334,0.9947733333333333,0.9699266666666667,0.9851474174240745,0.8610734353807402,0.0064263586797628745
no dialysis/CKD-definitional codes,logreg k=800 C=0.1,0.9591232407902961,0.5322672609039303,0.030073333333333334,0.8975733333333333,0.9699266666666667,0.8993571270228331,0.21389782253387463,0.0804043189351255
no dialysis/CKD-definitional codes,random forest (200 trees),0.9433451939655256,0.4059532858643048,0.030073333333333334,0.8626533333333334,0.9699266666666667,0.891154954555531,0.16659069247026645,0.0883061025877473
also no renal codes or dialysis hardware,logreg k=800 C=1.0,0.9477600356832678,0.43401643680164403,0.030073333333333334,0.8800866666666667,0.9699266666666667,0.8898248725338063,0.18666294642857142,0.0927316277753183
also no renal codes or dialysis hardware,random forest (200 trees),0.9374895641424242,0.3766707223475117,0.030073333333333334,0.86348,0.9699266666666667,0.8745289292839725,0.16536027161839292,0.08925667752443127
