code_a,desc_a,code_b,desc_b,n_both,n_a,n_b,support,lift,odds_ratio,or_ci_low,or_ci_high,or_adjusted,confounding_ratio,conf_a_to_b,conf_b_to_a,jaccard,leverage,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,same_chapter,obstetric,hospitals_contributing,pct_of_all_hospitals,top10_share_of_pairs,top10_share_of_discharges,concentration,hospital_dispersed
T796XXA,"Traumatic ischemia of muscle, initial encounter",W1830XA,"Fall on same level, unspecified, initial encounter",969,7199,56189,0.0001367908913359,16.969416066804737,19.785519520390217,16.49629282310106,23.730591284336352,11.236132350782446,1.7608834519479846,0.1346020280594527,0.0172453683105234,0.015524119258559,0.0001287298660892,Injury/poisoning,External cause,Other specified injury,Unacceptable PDX,False,False,671,14.689141856392295,0.05675954592363261,0.008766192745283079,6.47482294456437,True
K317,Polyp of stomach and duodenum,K922,"Gastrointestinal hemorrhage, unspecified",887,8612,49473,0.0001252151915531,14.747484550797548,16.613909660774514,13.78362754552768,20.02535205660984,11.231976564653714,1.4791617098861645,0.1029958197863446,0.0179289713581145,0.0155075352285044,0.0001167245780439,Digestive,Digestive,Benign neoplasms,Gastrointestinal hemorrhage,True,False,668,14.623467600700526,0.05749718151071026,0.010496477528672797,5.4777596916344145,True
K760,"Fatty (change of) liver, not elsewhere classified",R162,"Hepatomegaly with splenomegaly, not elsewhere classified",590,82522,4073,8.328857160805527e-05,12.434675441294578,14.478028842099944,11.465223693353304,18.282532008005766,11.230059495378596,1.2892210275518092,0.0071496085892246,0.1448563712251411,0.0068600662752165,7.659048189905809e-05,Digestive,Symptoms/signs,Other specified and unspecified liver disease,Abdominal pain and other digestive/abdomen signs and symptoms,False,False,437,9.566549912434326,0.09491525423728814,0.008465789219211992,11.211625021550322,True
D61818,Other pancytopenia,K7581,Nonalcoholic steatohepatitis (NASH),3083,70286,25018,0.0004352180784197,12.419917355602765,14.624469917105774,13.199233038886836,16.203602112806472,11.2197364466654,1.3034593091045636,0.0438636428307202,0.1232312734830921,0.033430563537589,0.0004001761320074,Blood/immune,Digestive,Aplastic anemia,Noninfectious hepatitis,False,False,1251,27.3861646234676,0.05935776840739539,0.012903658415216117,4.60007282410701,True
D61818,Other pancytopenia,K7030,Alcoholic cirrhosis of liver without ascites,4224,70286,33091,0.0005962897058854,12.865059151043653,15.472337825770518,14.1621094804964,16.90378386951843,11.217468808522042,1.3793074079257526,0.0600973166775744,0.1276480009670303,0.0426008290218147,0.0005499401556125,Blood/immune,Digestive,Aplastic anemia,Other specified and unspecified liver disease,False,False,1648,36.077057793345006,0.03551136363636364,0.010386226046595014,3.419082492240342,True
S51812A,"Laceration without foreign body of left forearm, init encntr",Z915,Personal history of self-harm,613,3681,65801,8.653541423006421e-05,17.92787274709949,21.51499232964179,17.059374001885462,27.13434237935016,11.207087817097952,1.9197665513798967,0.1665308340124966,0.009315967842434,0.0089009568891663,8.170854963487322e-05,Injury,Factors/status,"Open wounds to limbs, initial encounter",Unacceptable PDX,False,False,341,7.464973730297723,0.12234910277324633,0.007087010441422371,17.26385247835062,True
F333,"Major depressv disorder, recurrent, severe w psych symptoms",Z62810,Personal history of physical and sexual abuse in childhood,687,12766,18398,9.698177744870163e-05,20.720387833605944,22.66535428332844,18.39686783428113,27.924225439697995,11.2066693902538,2.02248799300174,0.0538148206172646,0.037341015327753,0.0225415887390491,9.23012773428393e-05,Mental/behavioural,Factors/status,Depressive disorders,Unacceptable PDX,False,False,323,7.07092819614711,0.17758369723435224,0.0069721004460173595,25.4706165823805,False
F1110,"Opioid abuse, uncomplicated",I330,Acute and subacute infective endocarditis,787,28142,13088,0.0001110984845009,15.136068514805023,16.48268181900149,13.566589182598896,20.025578742732872,11.203557846451252,1.471200670796055,0.0279653187406723,0.0601314180929095,0.0194594861904408,0.0001037585015725,Mental/behavioural,Circulatory,Opioid-related disorders,Endocarditis and endocardial disease,False,False,493,10.792469352014011,0.10038119440914867,0.009147626169833868,10.973469241689804,True
P000,Newborn affected by maternal hypertensive disorders,P590,Neonatal jaundice associated with preterm delivery,1487,4786,32167,0.0002099154338664,68.42177126810432,103.56982046328272,87.7338645150371,122.26416526947946,11.2010032365659,9.24647714815196,0.3106978687839532,0.0462275002331582,0.0419274798398466,0.000206847471287,Perinatal,Perinatal,Newborn affected by maternal conditions or complications of labor/delivery,Hemolytic jaundice and perinatal jaundice,True,True,472,10.332749562171628,0.18964357767316745,0.00735565137662598,25.782023639102444,False
M21371,"Foot drop, right foot",M48061,"Spinal stenosis, lumbar region without neurogenic claud",992,8182,64843,0.0001400377339579,13.245113831214145,15.157519562912746,12.6835672259333,18.11402070155203,11.19445796216997,1.354019963640523,0.1212417501833292,0.0152984901994047,0.0137714658559271,0.0001294649494773,Musculoskeletal,Musculoskeletal,Acquired foot deformities,Spondylopathies/spondyloarthropathy (including infective),True,False,649,14.207530647985989,0.0655241935483871,0.010817491447040115,6.05724477520302,True
G936,Cerebral edema,I468,Cardiac arrest due to other underlying condition,550,46383,6439,7.764188878717017e-05,13.04523860845882,14.339893459514215,11.34562854862238,18.124385400858827,11.1881795442503,1.2817003340712037,0.0118577927257831,0.085416990215872,0.0105218855218855,7.169014722708668e-05,Nervous,Circulatory,Other nervous system disorders (neither hereditary nor degenerative),Unacceptable PDX,False,False,400,8.756567425569177,0.07272727272727272,0.009319426494659297,7.803835651147707,True
