group,codes,ap_drop,ap_drop_sd,pct_of_model,example_codes,baseline_ap
Everything else (all remaining codes),3560,0.3283264279845888,0.001830111639822719,88.4686537191077,,0.3711217636780607
Electrolyte & acid-base,3,0.02901615201641854,0.0015428333876883827,7.818499170959254,"E875, E872, E871",0.3711217636780607
Fluid overload,3,0.022325955354782268,0.0010828515389187268,6.0158033130467405,"E8770, E8779, J810",0.3711217636780607
Vascular access failure,5,0.019065439587878385,0.00041430559827900144,5.13724643872333,"T82838A, T827XXA, T82868A, T82898A",0.3711217636780607
Bone & mineral chemistry,8,0.0129802794854742,0.0003806223252153475,3.497579704523684,"E839, E8359, E213, E211",0.3711217636780607
Transplant pathway,3,0.004131951115814136,0.0007705959790576882,1.1133680425701213,"Z7682, Z9483, Y830",0.3711217636780607
Other systemic,3,0.0014506756525632936,0.00035006087646720265,0.3908894046487988,"E8889, I776, E859",0.3711217636780607
