_key,code_a,desc_a,code_b,desc_b,n_both,lift,odds_ratio,or_adjusted,confounding_ratio,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,code_pairs_in_group,max_lift_in_group
Personality disorders | Suicidal ideation/attempt/intentional self-harm,F603,Borderline personality disorder,R45851,Suicidal ideations,10630,19.10178531940079,35.18394048352231,21.56456995412288,1.6315623524314975,Mental/behavioural,Symptoms/signs,Personality disorders,Suicidal ideation/attempt/intentional self-harm,1,19.10178531940079
Other nervous system disorders (neither hereditary nor degenerative) | Pituitary disorders,E232,Diabetes insipidus,G936,Cerebral edema,555,18.8359804957276,21.608094740748324,21.5582054171794,1.002314168670513,Endocrine/metabolic,Nervous,Pituitary disorders,Other nervous system disorders (neither hereditary nor degenerative),1,18.8359804957276
Diseases of white blood cells | Myelodysplastic syndrome (MDS),D469,"Myelodysplastic syndrome, unspecified",D709,"Neutropenia, unspecified",876,17.714348608168397,19.46104452352334,21.45399369712206,0.9071059122262136,Neoplasm,Blood/immune,Myelodysplastic syndrome (MDS),Diseases of white blood cells,1,17.714348608168397
Pancreatic disorders (excluding diabetes) | Unacceptable PDX,K861,Other chronic pancreatitis,Z90411,Acquired partial absence of pancreas,519,23.29559571380201,26.33044376088816,21.395190107357045,1.2306711755664212,Digestive,Factors/status,Pancreatic disorders (excluding diabetes),Unacceptable PDX,1,23.29559571380201
Aplastic anemia | Leukemia - acute lymphoblastic leukemia (ALL),C9100,Acute lymphoblastic leukemia not having achieved remission,D61818,Other pancytopenia,957,15.718979815138605,18.687365116488856,21.36824404426812,0.8745391094268044,Neoplasm,Blood/immune,Leukemia - acute lymphoblastic leukemia (ALL),Aplastic anemia,1,15.718979815138605
"Complication of genitourinary device, implant or graft, initial encounter | Urinary tract infections",N390,"Urinary tract infection, site not specified",T83511A,"I/I react d/t indwelling urethral catheter, init",16599,10.38833354619181,30.248722442358464,21.111067407958963,1.4328371871407397,Genitourinary,Injury/poisoning,Urinary tract infections,"Complication of genitourinary device, implant or graft, initial encounter",6,19.376778689108296
Acute posthemorrhagic anemia | Diverticulosis and diverticulitis,D62,Acute posthemorrhagic anemia,K5731,Dvrtclos of lg int w/o perforation or abscess w bleeding,10062,10.967218690222063,29.372719958828352,21.07627703083773,1.393638919997668,Blood/immune,Digestive,Acute posthemorrhagic anemia,Diverticulosis and diverticulitis,2,10.967218690222063
"Muscle disorders | Poisoning by drugs, initial encounter",M6282,Rhabdomyolysis,T43621A,"Poisoning by amphetamines, accidental (unintentional), init",892,31.47065708946601,40.534045880782976,20.990086046663603,1.9311043218532165,Musculoskeletal,Injury/poisoning,Muscle disorders,"Poisoning by drugs, initial encounter",2,31.47065708946601
Coagulation and hemorrhagic disorders | Respiratory signs and symptoms,D6832,Hemorrhagic disord d/t extrinsic circulating anticoagulants,R040,Epistaxis,1164,24.361358097266663,27.677243528763828,20.957398938161543,1.3206430631220198,Blood/immune,Symptoms/signs,Coagulation and hemorrhagic disorders,Respiratory signs and symptoms,3,24.361358097266663
Hepatic failure | Unacceptable PDX,K7200,Acute and subacute hepatic failure without coma,R6521,Severe sepsis with septic shock,10838,17.49557529609759,26.96390239713659,20.95111220154953,1.2869914560021476,Digestive,Symptoms/signs,Hepatic failure,Unacceptable PDX,4,33.6286360322862
Other specified status | Pressure ulcer of skin,L89154,"Pressure ulcer of sacral region, stage 4",Z9911,Dependence on respirator [ventilator] status,1064,21.287455141723097,23.80299624141691,20.82714332241509,1.1428833937009055,Skin,Factors/status,Pressure ulcer of skin,Other specified status,1,21.287455141723097
Gangrene | Osteomyelitis,I96,"Gangrene, not elsewhere classified",M869,"Osteomyelitis, unspecified",1901,25.73289462730681,30.43340406278276,20.824764712581644,1.4614044616021946,Circulatory,Musculoskeletal,Gangrene,Osteomyelitis,4,36.78391383476823
Nervous system signs and symptoms | Other nervous system disorders (neither hereditary nor degenerative),G936,Cerebral edema,R4701,Aphasia,7515,19.220962433925127,25.875623664143703,20.694127753495625,1.250384842133432,Nervous,Symptoms/signs,Other nervous system disorders (neither hereditary nor degenerative),Nervous system signs and symptoms,14,32.55266899508002
Transient cerebral ischemia | Unacceptable PDX,G459,"Transient cerebral ischemic attack, unspecified",R29700,NIHSS score 0,1374,26.493778956289468,30.81460285986164,20.56360369136817,1.4985020778627658,Nervous,Symptoms/signs,Transient cerebral ischemia,Unacceptable PDX,3,26.493778956289468
Abdominal pain and other digestive/abdomen signs and symptoms | Gastrointestinal cancers - liver,C220,Liver cell carcinoma,R188,Other ascites,2448,22.262768711828247,29.841368680318663,20.527824095686263,1.4537034486080558,Neoplasm,Symptoms/signs,Gastrointestinal cancers - liver,Abdominal pain and other digestive/abdomen signs and symptoms,1,22.262768711828247
Fungal infections | Skin and subcutaneous tissue infections,B353,Tinea pedis,L03116,Cellulitis of left lower limb,1609,20.458847659183032,28.53666656024651,20.51264031979524,1.3911747154610743,Infectious,Skin,Fungal infections,Skin and subcutaneous tissue infections,4,20.480841637883938
Other specified injury | Respiratory failure; insufficiency; arrest,J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia",T794XXA,"Traumatic shock, initial encounter",579,21.05583033762807,25.21726937368786,20.443891284073874,1.2334867674302554,Respiratory,Injury/poisoning,Respiratory failure; insufficiency; arrest,Other specified injury,1,21.05583033762807
Nervous system signs and symptoms | Other and ill-defined cerebrovascular disease,I672,Cerebral atherosclerosis,R29810,Facial weakness,1469,25.53674557530417,32.13310816550037,20.21269699460238,1.589748670060271,Circulatory,Symptoms/signs,Other and ill-defined cerebrovascular disease,Nervous system signs and symptoms,7,29.74241115535617
Cardiac arrest and ventricular fibrillation | Coagulation and hemorrhagic disorders,D65,Disseminated intravascular coagulation,I469,"Cardiac arrest, cause unspecified",822,21.55980200144579,24.328857958827555,20.129085946011934,1.208641963379748,Blood/immune,Circulatory,Coagulation and hemorrhagic disorders,Cardiac arrest and ventricular fibrillation,1,21.55980200144579
Conditions due to neoplasm or the treatment of neoplasm | Endocrine system cancers - pancreas,C259,"Malignant neoplasm of pancreas, unspecified",G893,Neoplasm related pain (acute) (chronic),1758,23.16532415972798,27.766890285088465,20.02775629182621,1.3864204197661805,Neoplasm,Nervous,Endocrine system cancers - pancreas,Conditions due to neoplasm or the treatment of neoplasm,4,23.16532415972798
Abnormal findings without diagnosis | Osteomyelitis,M4626,"Osteomyelitis of vertebra, lumbar region",R7881,Bacteremia,710,21.345198073976626,25.12689494020648,20.004703622662863,1.2560493479014003,Musculoskeletal,Symptoms/signs,Osteomyelitis,Abnormal findings without diagnosis,1,21.345198073976626
Other specified connective tissue disease | Unacceptable PDX,M726,Necrotizing fasciitis,R6521,Severe sepsis with septic shock,1565,16.56512462542026,23.116692597175906,19.9275138131967,1.160038969932477,Musculoskeletal,Symptoms/signs,Other specified connective tissue disease,Unacceptable PDX,1,16.56512462542026
Blindness and vision defects | Diabetes mellitus with complication,E11319,Type 2 diabetes w unsp diabetic rtnop w/o macular edema,H548,"Legal blindness, as defined in USA",1760,21.08270548876537,24.49460193614448,19.88953590364671,1.23153210083969,Endocrine/metabolic,Eye/ear,Diabetes mellitus with complication,Blindness and vision defects,2,21.08270548876537
"Abnormal findings without diagnosis | Complication of cardiovascular device, implant or graft, initial encounter",R7881,Bacteremia,T827XXA,"Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, init",1568,20.7576259353931,24.74929662675148,19.85869038870068,1.246270330133828,Symptoms/signs,Injury/poisoning,Abnormal findings without diagnosis,"Complication of cardiovascular device, implant or graft, initial encounter",1,20.7576259353931
Abdominal hernia | Hemorrhagic and hematologic disorders of newborn,K429,Umbilical hernia without obstruction or gangrene,P612,Anemia of prematurity,737,19.580043834650454,21.49233922927667,19.798543793172545,1.0855515160002942,Digestive,Perinatal,Abdominal hernia,Hemorrhagic and hematologic disorders of newborn,1,19.580043834650454
"Coma; stupor; and brain damage | Fracture of torso, initial encounter",G931,"Anoxic brain damage, not elsewhere classified",S2243XA,"Multiple fractures of ribs, bilateral, init for clos fx",518,23.24216375826955,25.736231739947463,19.7790722063976,1.301184983369594,Nervous,Injury,Coma; stupor; and brain damage,"Fracture of torso, initial encounter",1,23.24216375826955
Acute and unspecified renal failure | Hepatic failure,K7200,Acute and subacute hepatic failure without coma,N170,Acute kidney failure with tubular necrosis,9236,18.033158467443418,26.265885734549048,19.724287313521906,1.331651953606586,Digestive,Genitourinary,Hepatic failure,Acute and unspecified renal failure,1,18.033158467443418
"Acute myocardial infarction | Complication of cardiovascular device, implant or graft, initial encounter",I214,Non-ST elevation (NSTEMI) myocardial infarction,T82855A,"Stenosis of coronary artery stent, initial encounter",5345,19.76459175482151,32.40733120165992,19.723306790745944,1.643098266709781,Circulatory,Injury/poisoning,Acute myocardial infarction,"Complication of cardiovascular device, implant or graft, initial encounter",2,20.67065218200557
Other specified and unspecified diseases of kidney and ureters | Systemic lupus erythematosus and connective tissue disorders,M3214,Glomerular disease in systemic lupus erythematosus,N2581,Secondary hyperparathyroidism of renal origin,705,13.127048767520863,15.038221601670768,19.718757838718844,0.7626353406573313,Musculoskeletal,Genitourinary,Systemic lupus erythematosus and connective tissue disorders,Other specified and unspecified diseases of kidney and ureters,1,13.127048767520863
